"가뭄","누적강수량","가조시간","평균기온","저수량","댐","총저수량"
"정상",353.7,14.4,22.9,49.87,"밀양",73.6
"정상",365.6,14.4,20.5,424.16,"용담",815
"보통습윤",413.4,14.6,21.6,57.27,"횡성",86.9
"정상",315.4,14.4,23.9,31.68,"부안",50.3
"보통습윤",411.1,14.5,17.9,963.64,"안동",1248
"보통습윤",411.1,14.5,17.9,257.92,"임하",595
"정상",309.6,14.5,19.1,841.44,"대청",1490
"정상",350.3,14.4,17.4,198.91,"섬진강",466
"정상",429.2,14.4,18.4,122.6,"남강",309.2
"정상",331.3,14.5,19.2,31.66,"부안",50.3
"정상",308.1,14.5,19.2,38.35,"보령",116.9
"정상",305.5,14.5,18.6,19.45,"김천부항",54.3
"정상",431.3,14.4,20.3,105.19,"장흥",191
"정상",387.5,14.4,16.5,424.16,"용담",815
"심한습윤",449.8,14.7,19.2,1581.44,"소양강",2900
"정상",367.2,14.4,18.7,49.64,"밀양",73.6
"정상",233.4,12.1,9.4,294.35,"섬진강",466
"약한가뭄",150.9,12.1,10.9,1198.85,"충주",2750
"약한가뭄",199.2,12.1,11.7,6.2,"평림",10.26
"정상",165.1,12,9.7,48.53,"횡성",86.9
"약한가뭄",181.2,12.1,10.8,133.85,"남강",309.2
"정상",138.7,12.1,11,25.03,"김천부항",54.3
"정상",160.3,12.1,9,88.33,"영주",181.1
"약한가뭄",140.8,12.1,8.7,882.79,"안동",1248
"약한가뭄",140.8,12.1,8.7,201.98,"임하",595
"약한가뭄",144.8,12.1,11.2,434.23,"합천",790
"정상",138.3,12.1,10.4,22.3,"군위",48.7
"정상",186.6,12.1,10.1,1435.81,"소양강",2900
"약한가뭄",142.5,12.1,8.1,8.64,"보현산",22.11
"약한가뭄",142.5,12.1,8.1,40.78,"영천",103.21
"약한가뭄",169,12.1,7.6,49.79,"보령",116.9
"정상",213.5,12.1,9.8,6.63,"대곡",36.16
"정상",213.5,12.1,9.8,4.26,"대암",13.14
"정상",213.5,12.1,9.8,6.19,"사연",30.34
"정상",213.5,12.1,9.8,1.4,"선암",2.02
"보통가뭄",129.8,12.1,12.5,856.95,"대청",1490
"정상",202.8,12.1,11,47.21,"밀양",73.6
"약한가뭄",201.6,12.1,10,101.31,"장흥",191
"정상",299.1,12.1,11.4,5.67,"구천",10.02
"정상",299.1,12.1,11.4,3.26,"연초",5.22
"정상",240.2,12.1,9.5,455.53,"용담",815
"약한가뭄",205.2,12.1,8.4,33.61,"부안",50.3
"정상",186.2,12.1,13.5,1437.95,"소양강",2900
"보통가뭄",129.8,12.1,13.8,856.41,"대청",1490
"정상",212.6,12.1,10.9,6.56,"대곡",36.16
"정상",212.6,12.1,10.9,4.12,"대암",13.14
"정상",212.6,12.1,10.9,6.1,"사연",30.34
"정상",212.6,12.1,10.9,1.38,"선암",2.02
"약한가뭄",180.1,12.1,12.3,134.85,"남강",309.2
"약한가뭄",205.2,12.1,11.2,33.56,"부안",50.3
"정상",239.7,12.1,11.7,455.03,"용담",815
"정상",160.3,12.1,9.9,88.33,"영주",181.1
"약한가뭄",200.2,12.1,11.9,101.24,"장흥",191
"약한가뭄",140.6,12.1,10.1,8.62,"보현산",22.11
"약한가뭄",140.6,12.1,10.1,40.82,"영천",103.21
"정상",296.9,12.1,12,5.66,"구천",10.02
"정상",296.9,12.1,12,3.25,"연초",5.22
"약한가뭄",150.9,12.1,13,1198.14,"충주",2750
"정상",201.3,12.1,12,47.16,"밀양",73.6
"정상",165.1,12.1,12.9,48.48,"횡성",86.9
"정상",232.8,12.1,12.5,294.54,"섬진강",466
"약한가뭄",142.7,12.1,12.5,433.37,"합천",790
"약한가뭄",140.8,12.1,9.7,881.91,"안동",1248
"약한가뭄",140.8,12.1,9.7,201.86,"임하",595
"약한가뭄",195.5,12.1,13.9,6.2,"평림",10.26
"정상",136.4,12.1,11.2,22.25,"군위",48.7
"약한가뭄",169,12.1,10.6,49.53,"보령",116.9
"정상",137.5,12.1,11.4,24.95,"김천부항",54.3
"정상",189.2,12.1,9.8,1440.1,"소양강",2900
"정상",167,12.1,8.8,48.44,"횡성",86.9
"정상",185.8,13.4,22.8,868.29,"대청",1490
"정상",195.9,13.4,20.2,23.18,"군위",48.7
"정상",316.6,13.3,18.2,7.52,"대곡",36.16
"정상",316.6,13.3,18.2,3.51,"대암",13.14
"정상",316.6,13.3,18.2,8.01,"사연",30.34
"정상",316.6,13.3,18.2,1.36,"선암",2.02
"정상",306.1,13.3,18.3,299.54,"섬진강",466
"보통습윤",322.8,13.4,18.3,95.75,"영주",181.1
"정상",319.5,13.3,17.5,451.06,"용담",815
"정상",197.4,13.4,20.8,22.59,"김천부항",54.3
"정상",298.4,13.3,16.5,107.08,"장흥",191
"정상",226.9,13.4,18,8.68,"보현산",22.11
"정상",226.9,13.4,18,48.74,"영천",103.21
"정상",496.2,13.3,18.8,6.4,"구천",10.02
"정상",496.2,13.3,18.8,3.47,"연초",5.22
"심한습윤",315,13.4,19.7,1557.57,"소양강",2900
"정상",316.7,13.3,17.6,127.69,"남강",309.2
"정상",316.1,13.3,20.2,52.15,"밀양",73.6
"정상",227,13.3,19.4,405.88,"합천",790
"정상",210.1,13.4,20,44.42,"보령",116.9
"정상",280.5,13.3,19.2,33.95,"부안",50.3
"정상",265.6,13.3,19.7,6.3,"평림",10.26
"정상",204.6,13.4,21.4,1387.66,"충주",2750
"정상",273,13.4,19.4,938.65,"안동",1248
"정상",273,13.4,19.4,246.53,"임하",595
"정상",204.6,13.4,17.8,1388.68,"충주",2750
"정상",265.6,13.3,21.3,6.28,"평림",10.26
"정상",315.9,13.4,18,128.42,"남강",309.2
"정상",280.5,13.4,21.2,33.9,"부안",50.3
"정상",210.1,13.4,20.5,44.12,"보령",116.9
"정상",319.5,13.4,17.1,450.07,"용담",815
"정상",197.4,13.4,16.9,22.5,"김천부항",54.3
"정상",478.4,13.3,17.3,6.38,"구천",10.02
"정상",478.4,13.3,17.3,3.46,"연초",5.22
"정상",195.9,13.4,15.8,23.13,"군위",48.7
"정상",227,13.4,17.2,404.54,"합천",790
"정상",263.6,13.5,16.7,55.14,"횡성",86.9
"보통습윤",315,13.5,17.4,1552.1,"소양강",2900
"정상",185.8,13.4,19.9,866.13,"대청",1490
"정상",273,13.4,15.3,937.73,"안동",1248
"정상",273,13.4,15.3,246.24,"임하",595
"정상",313.8,13.4,16.9,52.06,"밀양",73.6
"정상",298.4,13.3,19.7,106.93,"장흥",191
"정상",306.1,13.4,19.2,298.19,"섬진강",466
"정상",305.5,13.4,15.4,7.54,"대곡",36.16
"정상",305.5,13.4,15.4,3.47,"대암",13.14
"정상",305.5,13.4,15.4,8.02,"사연",30.34
"정상",305.5,13.4,15.4,1.34,"선암",2.02
"정상",226.9,13.4,15.1,8.65,"보현산",22.11
"정상",226.9,13.4,15.1,48.74,"영천",103.21
"보통습윤",322.8,13.4,14.6,95.33,"영주",181.1
"정상",273,13.5,15.7,936.35,"안동",1248
"정상",273,13.5,15.7,245.95,"임하",595
"정상",305.5,13.4,14.7,7.55,"대곡",36.16
"정상",305.5,13.4,14.7,3.43,"대암",13.14
"정상",305.5,13.4,14.7,8.03,"사연",30.34
"정상",305.5,13.4,14.7,1.35,"선암",2.02
"정상",263.6,13.5,15.5,55.09,"횡성",86.9
"정상",280.5,13.4,16.8,33.85,"부안",50.3
"정상",306.1,13.4,16.7,297.23,"섬진강",466
"보통습윤",322.8,13.5,15.1,94.92,"영주",181.1
"정상",377.6,11.2,11.7,45.22,"밀양",73.6
"정상",327.6,11.1,8.5,1225.78,"충주",2750
"정상",296.2,11.1,13.1,9.06,"보현산",22.11
"정상",296.2,11.1,13.1,42.83,"영천",103.21
"정상",391.9,11.2,8.7,32.35,"부안",50.3
"정상",232.5,11.2,11.7,26.64,"김천부항",54.3
"정상",433.8,11.2,8.2,273.76,"섬진강",466
"정상",356.6,11.2,10.5,6,"평림",10.26
"정상",264.1,11.2,13.7,22.6,"군위",48.7
"정상",347.6,11.1,8.6,52.91,"보령",116.9
"정상",479.9,11.2,9.3,99.69,"장흥",191
"정상",636.8,11.2,14.9,5.64,"구천",10.02
"정상",636.8,11.2,14.9,3.21,"연초",5.22
"정상",284.4,11.1,10,83.34,"영주",181.1
"정상",327.5,11.1,0.4,1459.99,"소양강",2900
