"가뭄","누적강수량","가조시간","평균기온","저수량","댐"
"정상",704.9,13.9,27,1653.72,"소양강"
"정상",712.1,13.8,24.5,1660.41,"소양강"
"정상",712.4,13.8,25.1,1665.68,"소양강"
"정상",712.4,13.7,26.1,1667.6,"소양강"
"정상",712.4,13.7,25.7,1668.55,"소양강"
"정상",712.4,13.7,24.1,1671.92,"소양강"
"정상",712.4,13.6,24.6,1677.69,"소양강"
"정상",711.7,13.6,25,1680.59,"소양강"
"정상",711.7,13.6,24.2,1681.55,"소양강"
"정상",711.7,13.5,23.4,1684.93,"소양강"
"정상",711.7,13.5,23.8,1690.74,"소양강"
"정상",711.9,13.5,25,1693.65,"소양강"
"정상",740.8,13.4,23,1696.56,"소양강"
"정상",742.3,13.4,24.4,1699.97,"소양강"
"정상",745.6,13.4,21.7,1702.4,"소양강"
"정상",760.2,13.3,22.7,1705.32,"소양강"
"정상",760.3,13.3,24.2,1712.16,"소양강"
"정상",760.3,13.2,24.6,1717.54,"소양강"
"정상",760.9,13.2,22,1720.48,"소양강"
"정상",760.9,13.2,23.2,1723.43,"소양강"
"정상",762.1,13.1,22.8,1725.39,"소양강"
"정상",762.1,13.1,22.7,1726.87,"소양강"
"정상",796.9,13,20.1,1729.33,"소양강"
"약한가뭄",804.4,13,20.8,1745.63,"소양강"
"약한가뭄",734.8,13,23.1,1760.05,"소양강"
"약한가뭄",732.6,12.9,22.8,1768.03,"소양강"
"약한가뭄",732.6,12.9,20.7,1773.04,"소양강"
"약한가뭄",732.6,12.9,21.2,1776.55,"소양강"
"약한가뭄",732.7,12.8,21.9,1780.06,"소양강"
"심한습윤",1544.8,10.2,9,2061.22,"소양강"
"심한습윤",1545.3,10.2,6,2059.01,"소양강"
"심한습윤",1546.5,10.1,7.5,2056.4,"소양강"
"심한습윤",1546.5,10.1,7.3,2053.66,"소양강"
"심한습윤",1546,10.1,6.3,2050.74,"소양강"
"심한습윤",1545.8,10,8,2046.35,"소양강"
"심한습윤",1545.8,10,9.7,2041.99,"소양강"
"심한습윤",1545.8,10,8.4,2037.23,"소양강"
"심한습윤",1545.9,10,8.4,2032.93,"소양강"
"심한습윤",1545.9,9.9,10.1,2028.51,"소양강"
"심한습윤",1545.9,9.9,6.6,2023.85,"소양강"
"심한습윤",1546.9,9.9,9.4,2019.47,"소양강"
"심한습윤",1539.8,9.9,5.7,2015.12,"소양강"
"심한습윤",1539.8,9.8,2.5,2010.78,"소양강"
"심한습윤",1563.1,9.8,5.4,2007.62,"소양강"
"심한습윤",1565.9,9.8,8,2006.49,"소양강"
"심한습윤",1565.9,9.8,-4.2,2005.61,"소양강"
"심한습윤",1565.9,9.8,-5.4,2003.11,"소양강"
"심한습윤",1565.9,9.7,-4.7,1999.93,"소양강"
"심한습윤",1566.9,9.7,0.7,1996.56,"소양강"
"심한습윤",1566.9,9.7,-2.3,1992.96,"소양강"
"심한습윤",1566.9,9.7,-3.6,1989.06,"소양강"
"심한습윤",1563.7,9.7,-2.4,1984.91,"소양강"
"심한습윤",1544.9,9.7,2.4,1980.74,"소양강"
"심한습윤",1544.9,9.6,0.3,1976.87,"소양강"
"심한습윤",1544.7,9.6,0,1972.47,"소양강"
"심한습윤",1532.7,9.6,-0.7,1968.16,"소양강"
"심한습윤",1532.7,9.6,-1.1,1963.75,"소양강"
"심한습윤",1534.4,9.6,-0.1,1959.13,"소양강"
"심한습윤",1534.6,9.6,0.5,1954.81,"소양강"
"심한습윤",1532.5,9.6,-8.3,1949.64,"소양강"
"심한습윤",1536.1,9.6,-6.7,1944.71,"소양강"
"심한습윤",1517.9,9.6,-7.4,1939.97,"소양강"
"심한습윤",1510.9,9.6,-8.7,1935.07,"소양강"
"심한습윤",1510.9,9.6,-10.6,1929.76,"소양강"
"심한습윤",1510.9,9.5,-9.1,1925.31,"소양강"
"심한습윤",1510.9,9.6,-6.6,1919.96,"소양강"
"심한습윤",1515,9.5,-2.3,1915.17,"소양강"
