"ID","가뭄","누적강수량","계절","가조시간","평균기온","행정구역","저수량"
312,"보통가뭄",629.2,"여름",13,22.2,"강원도",1566.71
313,"정상",972.4,"여름",11.8,20.9,"경상북도",42.92
314,"약한가뭄",733.1,"여름",11.8,20.5,"강원도",71.36
315,"정상",1284.5,"여름",11.8,23.3,"경상남도",738.04
316,"정상",1302.4,"여름",11.8,23.4,"경상남도",176.02
317,"정상",1022.5,"여름",11.8,23.4,"경상남도",69.17
318,"정상",832.2,"가을",10.7,12.4,"전라북도",39.48
319,"정상",859.5,"가을",10.7,14.7,"광주광역시",7.93
320,"보통습윤",1905,"가을",10.7,14.5,"경상남도",6.665
321,"정상",1205,"가을",10.6,11.8,"경상남도",180.45
322,"정상",934.4,"가을",10.6,10.8,"경상북도",46.38
323,"정상",851.1,"가을",10.6,10.7,"경상북도",44.89
324,"정상",764.7,"가을",10.5,8.7,"경상북도",38.43
325,"보통습윤",1730.9,"겨울",9.9,3.3,"경상남도",6.15
326,"보통습윤",1673.9,"겨울",9.9,4.1,"경상남도",6.135
327,"정상",619.8,"겨울",9.8,-1.5,"경상북도",623.315
328,"정상",822,"겨울",9.8,5.3,"전라북도",37.94
329,"정상",1504.8,"여름",12.8,25.2,"경상남도",6.545
330,"약한가뭄",520.6,"여름",12.9,23.2,"경상북도",480.51
331,"약한가뭄",760.9,"여름",11.7,20.8,"강원도",1722.1
332,"정상",1284.5,"여름",11.7,22,"경상남도",737.54
333,"정상",1233.6,"가을",11.7,20.9,"울산광역시",15.22
334,"약한가뭄",680,"가을",11.7,19.1,"충청북도",1214.61
335,"정상",1260,"가을",10.6,11.8,"전라남도",166.72
336,"정상",963.5,"가을",10.6,10.9,"경상남도",66.31
337,"보통습윤",1195.2,"가을",10.6,13.2,"울산광역시",12.925
338,"약한가뭄",688,"가을",10.4,7.7,"강원도",69.5
339,"보통습윤",1905,"가을",10.6,13.6,"경상남도",6.61
340,"정상",1189.1,"가을",10.6,11.1,"경상남도",716.74
341,"정상",841.1,"겨울",9.8,0.5,"경상북도",38.52
342,"정상",945.2,"겨울",9.8,-0.7,"전라북도",720.12
343,"정상",737.9,"겨울",9.6,4.4,"강원도",1637.45
344,"정상",798.6,"겨울",9.8,3.7,"전라북도",275.29
345,"정상",1088.2,"겨울",9.9,6,"전라남도",162.03
346,"약한가뭄",681.9,"겨울",9.6,4.4,"강원도",68.56
347,"보통가뭄",635.4,"여름",12.8,25.2,"강원도",69.14
348,"보통가뭄",621.5,"여름",12.8,24.9,"경상북도",0.77
349,"정상",649.2,"여름",12.8,26.2,"경상북도",28.52
350,"정상",868.9,"여름",12.7,23.9,"전라북도",624.55
351,"보통가뭄",494.8,"여름",12.8,27,"충청북도",1401.51
352,"정상",911.3,"가을",11.7,17.6,"전라북도",276.58
353,"정상",893,"가을",11.6,15.4,"대구광역시",31.76
354,"정상",892.8,"가을",11.6,18,"대구광역시",31.78
355,"보통습윤",1977.2,"가을",11.6,18.7,"경상남도",6.905
356,"정상",1205,"가을",10.6,8.4,"경상남도",178.51
357,"보통습윤",1904.9,"가을",10.5,11.3,"경상남도",6.58
358,"정상",1260,"가을",10.5,9,"전라남도",166.25
359,"정상",807.6,"겨울",9.8,3.2,"대구광역시",27.75
360,"정상",877,"겨울",9.8,2.4,"경상북도",42.9
361,"정상",939.7,"겨울",9.8,2.6,"경상남도",63
362,"정상",921.9,"겨울",9.8,-0.8,"전라북도",718.13
363,"정상",776.5,"겨울",9.8,3.6,"광주광역시",7.44
364,"약한가뭄",549.4,"여름",12.7,24.8,"경상북도",491.145
365,"보통가뭄",533.9,"여름",12.7,25.5,"충청북도",935.43
366,"정상",691.4,"여름",12.7,25.6,"경상북도",36.895
367,"정상",897.4,"여름",12.7,24.3,"경상남도",626.03
368,"약한가뭄",708.2,"여름",12.7,23.6,"전라북도",182.21
369,"보통가뭄",494.8,"여름",12.7,24.4,"충청북도",1405.51
370,"정상",869.4,"여름",12.7,23,"전라북도",626.36
371,"정상",862.7,"여름",12.7,27,"울산광역시",9.02
372,"정상",795.7,"여름",12.7,27.8,"경상남도",67.44
373,"정상",892.8,"가을",11.6,14.8,"대구광역시",31.78
374,"정상",886.9,"가을",11.5,13.4,"전라북도",281.18
375,"약한가뭄",729.2,"가을",10.3,5.9,"강원도",1673.69
376,"정상",970,"가을",10.4,11.3,"경상남도",65.73
377,"약한가뭄",690.9,"가을",10.3,9.3,"강원도",68.98
378,"정상",858.1,"가을",10.4,12.7,"경상북도",44.035
379,"정상",672.1,"가을",10.4,10.2,"경상북도",640.14
380,"약한가뭄",681.9,"겨울",9.6,-0.9,"강원도",68.41
381,"약한가뭄",592.7,"겨울",9.7,1.6,"충청북도",1784.86
382,"정상",923,"겨울",9.8,2.2,"전라북도",716.48
383,"보통습윤",1660.9,"겨울",9.8,7.9,"경상남도",6.015
384,"보통가뭄",499.9,"여름",12.6,26.3,"충청남도",32.48
385,"정상",862.7,"여름",12.6,27.1,"울산광역시",8.9825
386,"약한가뭄",716.4,"여름",12.6,26.7,"광주광역시",7.33
387,"정상",740,"여름",12.6,24.9,"전라북도",33.3
388,"보통가뭄",520.2,"여름",12.6,22.9,"충청북도",1424.12
389,"정상",883.9,"여름",12.6,25,"경상남도",630.2
390,"보통가뭄",500.5,"여름",12.6,24.4,"충청남도",32.6
391,"정상",707.3,"가을",11.5,17,"경상북도",700.49
392,"정상",970,"가을",10.4,9.9,"경상남도",65.61
393,"보통습윤",1202.3,"가을",10.4,12.3,"울산광역시",12.5625
394,"정상",1194.6,"가을",10.4,8.4,"경상남도",716.5
395,"정상",996.9,"가을",10.4,6.3,"전라북도",735.13
396,"정상",852.8,"가을",10.4,9.8,"전라북도",38.9
397,"정상",1213.1,"가을",10.4,10.5,"경상남도",178.23
398,"정상",946.9,"가을",10.3,4,"경상북도",45.58
399,"정상",1078.6,"겨울",9.8,4.4,"경상남도",181.57
400,"정상",773.3,"겨울",9.8,10.2,"광주광역시",7.39
401,"정상",737.2,"겨울",9.7,3.4,"경상북도",40.23
402,"정상",1078.6,"겨울",9.8,5.3,"경상남도",181.01
403,"약한가뭄",680.8,"겨울",9.6,3.2,"강원도",68.2
404,"정상",1066.2,"겨울",9.8,8.2,"전라남도",160.92
405,"정상",775.9,"겨울",9.8,8.8,"광주광역시",7.37
406,"정상",632.3,"여름",12.6,20.2,"대구광역시",19.55
407,"약한가뭄",548,"여름",12.6,20.2,"경상북도",490.7
408,"정상",740.5,"여름",12.6,22.1,"전라북도",33.33
409,"정상",1510.1,"여름",12.5,22.5,"경상남도",6.515
410,"정상",777.1,"여름",12.5,22.2,"경상남도",67.06
411,"정상",631.8,"여름",12.5,21.5,"대구광역시",19.5
412,"보통가뭄",537.2,"여름",12.5,23.1,"충청북도",952.41
413,"정상",895.6,"가을",11.5,20,"광주광역시",8.8
414,"정상",864.8,"가을",11.4,19.2,"대구광역시",31.76
