"연도","시도","시군구","농업용","생활용","산업용","유역","지점"
2020,"전라남도","영암군",9861979,6533125,1119482,"영섬","목포"
2020,"전라남도","화순군",2070855,3820863,570798,"영섬","광주"
2020,"전라북도","군산시",1427309,2146005,825534,"금강","군산"
2020,"전라북도","부안군",7119087,3009405,487957,"금강","부안"
2020,"충청남도","태안군",11223451,6846470,47088,"금강","서산"
2020,"충청남도","홍성군",10953509,6335270,648845,"금강","홍성"
2020,"충청북도","영동군",16448477,7763643,1222557,"금강","추풍령"
2020,"충청북도","옥천군",10719178,6704228,1280027,"금강","보은"
2020,"충청북도","증평군",3338007,2940351,540246,"한강","청주"
2021,"강원도","고성군",4449950,3342766,152068,"한강","통영"
2021,"강원도","동해시",552170,3155690,3267675,"한강","동해"
2021,"강원도","철원군",4317409,4387668,237509,"한강","철원"
2021,"강원도","화천군",5612341,2776770,154621,"한강","북춘천"
2021,"경기도","남양주시",5560970,8993500,1041464,"한강","서울"
2021,"경기도","용인시",6605668,22474331,741615,"한강","서울"
2021,"경상남도","남해군",4221356,5461830,39150,"낙동강","남해"
2021,"경상남도","창원시",8097787,21317921,2464775,"낙동강","창원"
2021,"경상북도","안동시",15474441,7174610,1858821,"낙동강","안동"
2021,"전라남도","목포시",342608,744006,186011,"영섬","목포"
2021,"전라남도","순천시",23906089,10933625,820463,"영섬","순천"
2021,"전라남도","함평군",14330150,6263374,576101,"영섬","광주"
2021,"전라북도","임실군",7900466,2541857,595727,"영섬","임실"
2021,"전라북도","장수군",5557224,1508050,58127,"영섬","장수"
2021,"충청남도","아산시",12648649,19508262,2968198,"금강","천안"
2021,"충청남도","태안군",11219780,6849770,47088,"금강","서산"
2021,"충청북도","보은군",10589128,5497599,220632,"금강","보은"
2022,"강원도","고성군",4448695,3108020,150238,"한강","통영"
2022,"강원도","동해시",547745,2960362,3267675,"한강","동해"
2022,"강원도","양양군",1162725,778581,174755,"한강","속초"
2022,"강원도","정선군",1920792,1898984,43049,"한강","정선군"
2022,"경기도","가평군",3742402,6539297,142598,"한강","춘천"
2022,"경기도","군포시",643413,642385,3914,"한강","수원"
2022,"경기도","김포시",4879624,9489978,590579,"한강","서울"
2022,"경기도","남양주시",5558570,8853569,1041464,"한강","서울"
2022,"경기도","부천시",409101,1087402,209501,"한강","서울"
2022,"경기도","성남시",1478188,3530149,1000,"한강","서울"
2022,"경기도","안양시",124728,1506146,351898,"한강","서울"
2022,"경기도","이천시",12876826,10078290,1749688,"한강","이천"
2022,"경상남도","창녕군",17985759,4349427,1454607,"낙동강","밀양"
2022,"경상남도","통영시",1230442,1622283,49143,"낙동강","통영"
2022,"경상남도","함안군",4819882,4580650,2877126,"낙동강","의령군"
2022,"경상북도","영덕군",2572206,4397301,849774,"낙동강","영덕"
2022,"전라남도","강진군",6790823,5368924,285973,"영섬","강진군"
2022,"전라남도","담양군",65615818,6654018,1661234,"영섬","광주"
2022,"전라남도","영암군",10408648,6495179,1129482,"영섬","목포"
2022,"전라남도","장성군",6765504,3500529,1126027,"영섬","광주"
2022,"전라북도","정읍시",19058336,5394321,56221,"금강","정읍"
2022,"충청남도","당진시",12697065,15791730,2301207,"금강","서산"
2022,"충청남도","홍성군",11265303,6305771,648845,"금강","홍성"
2022,"충청북도","충주시",25671348,13772943,2227427,"한강","충주"
2022,"서울특별시","서울특별시",2001710,13516683,581285,"한강","서울"
2021,"서울특별시","서울특별시",2051078,15084702,625521,"한강","서울"
2020,"서울특별시","서울특별시",1986287,17462010,619516,"한강","서울"
2019,"서울특별시","서울특별시",2018356,17338982,648576,"한강","서울"
2022,"부산광역시","부산광역시",4161048,22167226,1196729,"낙동강","부산"
2021,"부산광역시","부산광역시",4177787,23194521,1208445,"낙동강","부산"
2020,"부산광역시","부산광역시",4114972,23188659,1194203,"낙동강","부산"
2019,"부산광역시","부산광역시",3935373,23504027,1119396,"낙동강","부산"
2022,"대구광역시","대구광역시",7380394,10135669,3114670,"낙동강","대구"
2021,"대구광역시","대구광역시",7491146,11213842,3257658,"낙동강","대구"
2020,"대구광역시","대구광역시",7351057,11229894,3243695,"낙동강","대구"
2019,"대구광역시","대구광역시",7239763,11350637,3554245,"낙동강","대구"
2022,"광주광역시","광주광역시",6054647,8567689,2000115,"영섬","광주"
2021,"광주광역시","광주광역시",6057980,9250441,2011065,"영섬","광주"
2020,"광주광역시","광주광역시",5984041,8814272,2236785,"영섬","광주"
2019,"광주광역시","광주광역시",5883817,9003711,2473287,"영섬","광주"
2022,"울산광역시","울산광역시",4064257,17739135,2068065,"낙동강","울산"
2021,"울산광역시","울산광역시",4064257,18133176,2155221,"낙동강","울산"
2020,"울산광역시","울산광역시",3810838,18145969,2149094,"낙동강","울산"
2019,"울산광역시","울산광역시",3421313,18271247,2112070,"낙동강","울산"
2022,"인천광역시","인천광역시",9465016,11015161,446658,"한강","인천"
2021,"인천광역시","인천광역시",9562985,13037499,482621,"한강","인천"
2020,"인천광역시","인천광역시",9004936,13764098,519291,"한강","인천"
2019,"인천광역시","인천광역시",8835359,13554527,487076,"한강","인천"
2022,"대전광역시","대전광역시",6899104,16421913,1259612,"금강","대전"
2022,"세종특별자치시","세종특별자치시",10284551,8047497,3455641,"금강","세종"
2021,"세종특별자치시","세종특별자치시",10318974,8446101,3455919,"금강","세종"
2020,"세종특별자치시","세종특별자치시",10005385,8426577,3450359,"금강","세종"
2019,"세종특별자치시","세종특별자치시",9593566,8452522,3485414,"금강","세종"
2019,"강원도","강릉시",5306626,6369946,1215774,"한강","강릉"
2019,"강원도","동해시",525630,3083166,2755495,"한강","동해"
2019,"강원도","영월군",1705104,7387606,241096,"한강","영월"
2019,"강원도","태백시",239987,408548,6750,"한강","태백"
2019,"경기도","가평군",3335637,6146795,141111,"한강","춘천"
2019,"경기도","고양시",13068970,10564579,277831,"한강","서울"
2019,"경기도","부천시",418398,1230136,234156,"한강","서울"
2019,"경기도","양주시",9028989,9861703,3056326,"한강","동두천"
2019,"경기도","여주시",14260327,15770802,3112194,"한강","이천"
2019,"경기도","이천시",13717681,13251267,1790286,"한강","이천"
2019,"경기도","파주시",7257762,23991428,2442656,"한강","파주"
2019,"경상남도","함안군",4735329,4965172,3287556,"낙동강","의령군"
